day,average_speed,average_size,average_intelligence
352,23.700229747257058,1.4482601445360253,2.959983682787555
353,24.002980894632138,1.395978252593912,2.9829617122896472
354,23.737454217141288,1.3979654135129678,2.994555138834603
355,23.759619558765756,1.3578904896194988,3.097749486971788
356,23.98832940501978,1.3749515062488067,3.057234643441413
357,24.570525235930177,1.3445812148502936,3.1668084710076956
358,25.116093853761956,1.353422613519315,3.2245361434989763
359,24.808171905072307,1.3762965996139866,3.2023306339350275
360,24.425567857675517,1.3358956119677032,3.146503379277878
361,24.202287422846855,1.3557094652075707,3.145406319170193
362,24.160105721042548,1.366160839558984,3.0890187677339034
363,24.47838437342356,1.3743221489513326,3.061183972656704
364,24.74803814578899,1.4102676609295846,3.0128594690653014
365,24.198232064471654,1.381777951478874,3.042792113630175
366,23.774939938958276,1.3820054640163586,3.066246143655573
367,23.510709173644624,1.4045075376902911,3.059582203403242
368,23.913266067949117,1.3668250340696577,3.103054821442586
369,23.967043568651686,1.3952009584505336,3.1056097536219074
370,24.146375808178558,1.3857989713553254,3.126753365043257
371,23.986876539147605,1.3663270843238353,3.168118681749918
372,25.135653061894065,1.4372479087065992,3.158889717076599
373,25.06561125297187,1.4937304458787346,3.0620336413002978
374,24.898029869228164,1.4695446113755126,3.1888219025632605
375,24.638335046600496,1.4182980623141066,3.309346726711372
376,24.873960965402258,1.4190749941691483,3.259414242165784
377,25.206008423520167,1.4655024714569445,3.2682500145103677
378,26.607542395171432,1.6033925020448645,3.100238814138113
379,26.03794982583655,1.5642879291196616,3.052422850921071
380,24.900850264668893,1.512749306246768,3.0819625810535074
381,24.861948576978307,1.4708222979321823,3.0821068725857925
382,24.584503078120452,1.4577968824773375,3.0824245071118703
383,23.647782978377403,1.4272671637095466,3.1427062104184222
384,23.723420191055258,1.456036889047408,3.122037263403869
385,23.70686083936482,1.440714978045435,3.0860062457687785
386,23.874204764761622,1.4070905408116692,3.150921429314432
387,24.173609208017638,1.3994753034471659,3.1249629319990597
388,24.800615743508306,1.412910819585817,3.1678492698951617
389,24.741067390395035,1.3959629552918495,3.1933353936473514
390,24.7612499587377,1.3620311651421817,3.332093853053587
391,24.24857458362179,1.3474066463765362,3.304041929444848
392,24.06297645155023,1.3576385676213323,3.3568554730465237
393,24.78551966008912,1.3220804391506344,3.3635483839135842
394,24.63741524743229,1.2602543320227846,3.461150188484229
395,24.44699106915914,1.25378321242129,3.4892729647878924
396,24.530318706276322,1.2735680107081984,3.515091381715865
397,24.408488292701584,1.246885013820543,3.6494030149961163
398,24.48861600896546,1.22754686605163,3.695585955436703
399,25.3173319887234,1.2441565094900078,3.64128441813521
400,25.341294535316546,1.2584123374499432,3.6246258033166097
401,25.475688853925554,1.2566090040978042,3.653194672642574
402,24.915311408545822,1.2465246653705266,3.633593861674358
403,24.962583354288473,1.2532715160138626,3.668888042407451
404,24.300006309745783,1.170850273377781,3.7832744965755647
405,24.956844305403,1.1770073778003964,3.853607642243893
406,24.85239923625074,1.127427576299713,3.920624786308496
407,24.524342155484636,1.104071814184202,3.8944061672302372
408,25.25252646274635,1.1200823519823828,3.9724699730383954
409,24.67715775914644,1.1075874279392108,4.058347610636513
410,25.218705041311047,1.1128192645827346,4.096343315367161
411,25.328260673121637,1.1081898879684706,4.015799101873093
412,24.870972707728303,1.0955560747687811,4.001446026002078
